Product_ID,Product_Code,Game_Title,Game_Name,Platform,Price,Price,Price_With_Tax,Price_EUR,Price_Approx,Stock_Status,In_Stock_Flag,Publisher,Units_Sold,Revenue_USD
501,501,Elden Ring,Elden Ring,PC,59.99,59.99,71.99,55.19,60.59,In Stock,1,FromSoftware,146,8758.54
501,501,Elden Ring,Elden Ring,PC,59.99,59.99,71.99,55.19,59.82,In Stock,1,FromSoftware,131,7858.69
502,502,Cyberpunk 2077,Cyberpunk 2077,PS5,29.99,29.99,35.99,27.59,30.77,In Stock,1,CD Projekt,316,9476.84
502,502,Cyberpunk 2077,Cyberpunk 2077,PS5,49.99,49.99,59.99,45.99,51.82,In Stock,1,CD Projekt,191,9548.09
503,503,Halo Infinite,Halo Infinite,Xbox,59.99,59.99,71.99,55.19,59.71,Out of Stock,0,Xbox Game Studios,168,10078.32
503,503,Halo Infinite,Halo Infinite,Xbox,59.99,59.99,71.99,55.19,59.71,OUT OF STOCK,0,Xbox Game Studios,140,8398.6
504,504,Stardew Valley,Stardew Valley,Switch,14.99,14.99,17.99,13.79,16.89,In Stock,1,ConcernedApe,394,5906.06
504,504,Stardew Valley,Stardew Valley,Switch,14.99,14.99,17.99,13.79,15.91,Discontinued,0,ConcernedApe,422,6325.78
505,505,Minecraft,Minecraft,PC,26.95,26.95,32.34,24.79,26.39,In Stock,1,Mojang,320,8624.0
506,506,Terraria,Terraria,PC,9.99,9.99,11.99,9.19,10.64,In Stock,1,Re-Logic,443,4425.57
506,506,Terraria,Terraria,PC,9.99,9.99,11.99,9.19,9.43,In Stock,1,Re-Logic,411,4105.89
507,507,Hades,Hades,PS5,24.99,24.99,29.99,22.99,24.43,In Stock,1,Supergiant Games,330,8246.7
507,507,Hades,Hades,PS5,24.99,24.99,29.99,22.99,25.28,In Stock,1,Supergiant,353,8821.47
508,508,Baldur's Gate 3,Baldur's Gate 3,PC,59.99,59.99,71.99,55.19,57.69,In Stock,1,Larian Studios,151,9058.49
508,508,Baldur's Gate 3,Baldur's Gate 3,PC,0.0,0.0,0.0,0.0,0.0,In Stock,1,Larian Studios,503,0.0
509,509,Fallout 4,Fallout 4,Xbox,19.99,19.99,23.99,18.39,19.32,In Stock,1,Bethesda,378,7556.22
510,510,God of War,God of War,PS5,49.99,49.99,59.99,45.99,48.77,In Stock,1,Santa Monica Studio,196,9798.04
511,511,The Witcher 3,The Witcher 3,PC,9.99,9.99,11.99,9.19,10.37,In Stock,1,CD Projekt,418,4175.82
512,512,Red Dead Redemption 2,Red Dead Redemption 2,PS5,39.99,39.99,47.99,36.79,38.9,In Stock,1,Rockstar,249,9957.51
513,513,Hollow Knight,Hollow Knight,PC,14.99,14.99,17.99,13.79,13.3,In Stock,1,Team Cherry,403,6040.97
514,514,Dead Cells,Dead Cells,Switch,24.99,24.99,29.99,22.99,26.75,Out of Stock,0,Motion Twin,366,9146.34
515,515,Celeste,Celeste,PC,19.99,19.99,23.99,18.39,19.72,In Stock,1,Maddy Makes Games,385,7696.15
516,516,Disco Elysium,Disco Elysium,PC,39.99,39.99,47.99,36.79,40.07,In Stock,1,ZA/UM,234,9357.66
517,517,Sekiro,Sekiro,PC,49.99,49.99,59.99,45.99,48.28,In Stock,1,FromSoftware,205,10247.95
518,518,Ghost of Tsushima,Ghost of Tsushima,PS5,49.99,49.99,59.99,45.99,49.34,In Stock,1,Sucker Punch,194,9698.06
519,519,Spider-Man Remastered,Spider-Man Remastered,PC,49.99,49.99,59.99,45.99,50.12,Out of Stock,0,Insomniac Games,190,9498.1
520,520,Final Fantasy XVI,Final Fantasy XVI,PS5,69.99,69.99,83.99,64.39,68.61,In Stock,1,Square Enix,89,6229.11
